entryno.,value,UOD,time,DOW,timeperiod,OUDstreaktype,OUDstreakno.
1,126873,0,212059,20170503020421,0,1
2,126873,2,212100,20170503020421,2,0
3,126873,2,212101,20170503020421,2,1
4,126873,2,212102,20170503020421,2,2
5,126873,2,212103,20170503020421,2,3
6,126873,2,212103,20170503020421,2,4
7,126873,2,212104,20170503020421,2,5
8,126873,2,212106,20170503020421,2,6
9,126873,2,212107,20170503020421,2,7
10,126873,2,212108,20170503020421,2,8
11,126873,2,212108,20170503020421,2,9
12,126873,2,212109,20170503020421,2,10
13,126873,2,212110,20170503020421,2,11
14,126873,2,212111,20170503020421,2,12
15,126873,2,212112,20170503020421,2,13
16,126873,2,212113,20170503020421,2,14
17,126873,2,212113,20170503020421,2,15
18,126873,2,212114,20170503020421,2,16
19,126873,2,212115,20170503020421,2,17
20,126873,2,212116,20170503020421,2,18
21,126873,2,212117,20170503020421,2,19
22,126873,2,212117,20170503020421,2,20
23,126873,2,212118,20170503020421,2,21
24,126873,2,212119,20170503020421,2,22
25,126873,2,212120,20170503020421,2,23
26,126873,2,212121,20170503020421,2,24
27,126873,2,212122,20170503020421,2,25
28,126873,2,212122,20170503020421,2,26
29,126873,2,212123,20170503020421,2,27
30,126873,2,212124,20170503020421,2,28
31,126873,2,212125,20170503020421,2,29
32,126873,2,212126,20170503020421,2,30
33,126873,2,212127,20170503020421,2,31
34,126874,0,212128,20170503020421,0,0
35,126874,2,212128,20170503020421,2,0
36,126874,2,212129,20170503020421,2,1
37,126874,2,212130,20170503020421,2,2
38,126874,2,212131,20170503020421,2,3
39,126873,1,212132,20170503020421,1,0
40,126874,0,212133,20170503020421,0,0
41,126873,1,212133,20170503020421,1,0
42,126874,0,212134,20170503020421,0,0
43,126873,1,212135,20170503020421,1,0
44,126873,2,212136,20170503020421,2,0
45,126873,2,212137,20170503020421,2,1
46,126873,2,212138,20170503020421,2,2
47,126873,2,212138,20170503020421,2,3
48,126873,2,212139,20170503020421,2,4
49,126874,0,212140,20170503020421,0,0
50,126873,1,212141,20170503020421,1,0
51,126871,1,212142,20170503020421,1,1
52,126874,0,212142,20170503020421,0,0
53,126871,1,212143,20170503020421,1,0
54,126871,2,212144,20170503020421,2,0
55,126871,2,212145,20170503020421,2,1
56,126871,2,212146,20170503020421,2,2
57,126871,2,212147,20170503020421,2,3
58,126871,2,212148,20170503020421,2,4
59,126871,2,212149,20170503020421,2,5
60,126871,2,212149,20170503020421,2,6
61,126871,2,212150,20170503020421,2,7
62,126871,2,212151,20170503020421,2,8
63,126871,2,212152,20170503020421,2,9
64,126871,2,212153,20170503020421,2,10
65,126871,2,212154,20170503020421,2,11
66,126871,2,212154,20170503020421,2,12
67,126871,2,212155,20170503020421,2,13
68,126871,2,212156,20170503020421,2,14
69,126871,2,212157,20170503020421,2,15
70,126871,2,212158,20170503020421,2,16
71,126871,2,212159,20170503020421,2,17
72,126871,2,212159,20170503020421,2,18
73,126871,2,212200,20170503020421,2,19
74,126871,2,212201,20170503020421,2,20
75,126871,2,212202,20170503020421,2,21
76,126871,2,212203,20170503020421,2,22
77,126865,1,212204,20170503020421,1,0
78,126871,0,212204,20170503020421,0,0
79,126871,2,212205,20170503020421,2,0
80,126863,1,212206,20170503020421,1,0
81,126863,2,212207,20170503020421,2,0
82,126863,2,212208,20170503020421,2,1
83,126863,2,212209,20170503020421,2,2
84,126863,2,212209,20170503020421,2,3
85,126863,2,212210,20170503020421,2,4
