entryno.,value,timestamp,timeperiod,OUDstreaktype,OUDstreakno.
99,126903,2017-06-12 10:52:55,20170601010210,0,2
100,126903,2017-06-12 10:52:56,20170601010210,2,0
101,126902,2017-06-12 10:52:57,20170601010210,1,0
102,126903,2017-06-12 10:52:59,20170601010210,0,0
103,126903,2017-06-12 10:53:00,20170601010210,2,0
104,126903,2017-06-12 10:53:01,20170601010210,2,1
105,126903,2017-06-12 10:53:03,20170601010210,2,2
106,126903,2017-06-12 10:53:04,20170601010210,2,3
107,126903,2017-06-12 10:53:05,20170601010210,2,4
108,126903,2017-06-12 10:53:07,20170601010210,2,5
109,126902,2017-06-12 10:53:08,20170601010210,1,0
110,126902,2017-06-12 10:53:09,20170601010210,2,0
111,126902,2017-06-12 10:53:11,20170601010210,2,1
112,126902,2017-06-12 10:53:12,20170601010210,2,2
113,126902,2017-06-12 10:53:13,20170601010210,2,3
114,126903,2017-06-12 10:53:15,20170601010210,0,0
115,126903,2017-06-12 10:53:16,20170601010210,2,0
116,126903,2017-06-12 10:53:17,20170601010210,2,1
117,126903,2017-06-12 10:53:19,20170601010210,2,2
118,126903,2017-06-12 10:53:20,20170601010210,2,3
119,126903,2017-06-12 10:53:21,20170601010210,2,4
120,126903,2017-06-12 10:53:23,20170601010210,2,5
121,126903,2017-06-12 10:53:24,20170601010210,2,6
122,126903,2017-06-12 10:53:25,20170601010210,2,7
123,126903,2017-06-12 10:53:26,20170601010210,2,8
124,126903,2017-06-12 10:53:28,20170601010210,2,9
125,126903,2017-06-12 10:53:29,20170601010210,2,10
126,126923,2017-06-12 10:53:30,20170601010210,0,0
127,126923,2017-06-12 10:53:32,20170601010210,2,0
128,126923,2017-06-12 10:53:33,20170601010210,2,1
129,126923,2017-06-12 10:53:34,20170601010210,2,2
130,126923,2017-06-12 10:53:35,20170601010210,2,3
131,126923,2017-06-12 10:53:37,20170601010210,2,4
132,126921,2017-06-12 10:53:38,20170601010210,1,0
133,126921,2017-06-12 10:53:39,20170601010210,2,0
134,126922,2017-06-12 10:53:41,20170601010210,0,0
135,126922,2017-06-12 10:53:42,20170601010210,2,0
136,126913,2017-06-12 10:53:43,20170601010210,1,0
137,126922,2017-06-12 10:53:45,20170601010210,0,0
138,126913,2017-06-12 10:53:46,20170601010210,1,0
139,126913,2017-06-12 10:53:47,20170601010210,2,0
140,126913,2017-06-12 10:53:49,20170601010210,2,1
141,126913,2017-06-12 10:53:50,20170601010210,2,2
