0,125861,2017-06-25 15:15:21,201706257151521,0,1
1,125861,2017-06-25 15:15:22,201706257151522,2,0
2,125861,2017-06-25 15:15:23,201706257151523,2,1
3,125861,2017-06-25 15:15:24,201706257151524,2,2
4,125861,2017-06-25 15:15:24,201706257151524,2,3
5,125862,2017-06-25 15:15:25,201706257151525,0,0
6,125861,2017-06-25 15:15:26,201706257151526,1,0
7,125861,2017-06-25 15:15:27,201706257151527,2,0
8,125861,2017-06-25 15:15:27,201706257151527,2,1
9,125868,2017-06-25 15:15:28,201706257151528,0,0
10,125868,2017-06-25 15:15:29,201706257151529,2,0
11,125862,2017-06-25 15:15:29,201706257151529,1,0
12,125868,2017-06-25 15:15:30,201706257151530,0,0
13,125863,2017-06-25 15:15:31,201706257151531,1,0
14,125868,2017-06-25 15:15:32,201706257151532,0,0
15,125868,2017-06-25 15:15:32,201706257151532,2,0
16,125868,2017-06-25 15:15:33,201706257151533,2,1
17,125868,2017-06-25 15:15:34,201706257151534,2,2
18,125868,2017-06-25 15:15:35,201706257151535,2,3
19,125868,2017-06-25 15:15:35,201706257151535,2,4
20,125868,2017-06-25 15:15:36,201706257151536,2,5
21,125868,2017-06-25 15:15:37,201706257151537,2,6
22,125868,2017-06-25 15:15:37,201706257151538,2,7
23,125868,2017-06-25 15:15:38,201706257151538,2,8
24,125868,2017-06-25 15:15:39,201706257151539,2,9
25,125868,2017-06-25 15:15:40,201706257151540,2,10
26,125868,2017-06-25 15:15:40,201706257151540,2,11
27,125868,2017-06-25 15:15:41,201706257151541,2,12
28,125868,2017-06-25 15:15:42,201706257151542,2,13
29,125866,2017-06-25 15:15:43,201706257151543,1,0
30,125866,2017-06-25 15:15:44,201706257151544,2,0
31,125866,2017-06-25 15:15:44,201706257151544,2,1
32,125866,2017-06-25 15:15:45,201706257151545,2,2
33,125866,2017-06-25 15:15:46,201706257151546,2,3
34,125866,2017-06-25 15:15:47,201706257151547,2,4
35,125866,2017-06-25 15:15:47,201706257151547,2,5
36,125866,2017-06-25 15:15:48,201706257151548,2,6
37,125866,2017-06-25 15:15:49,201706257151549,2,7
38,125870,2017-06-25 15:15:49,201706257151549,0,0
39,125866,2017-06-25 15:15:50,201706257151550,1,0
40,125870,2017-06-25 15:15:51,201706257151551,0,0
41,125870,2017-06-25 15:15:52,201706257151552,2,0
42,125870,2017-06-25 15:15:52,201706257151552,2,1
43,125870,2017-06-25 15:15:53,201706257151553,2,2
44,125870,2017-06-25 15:15:54,201706257151554,2,3
45,125870,2017-06-25 15:15:55,201706257151555,2,4
46,125870,2017-06-25 15:15:55,201706257151555,2,5
47,125870,2017-06-25 15:15:56,201706257151556,2,6
48,125870,2017-06-25 15:15:57,201706257151557,2,7
